memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 43, 71.33 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 42, 71.91 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 40, 69.95 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 40, 69.09 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 60.15 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 42, 59.64 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 59.66 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 58.26 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 60.15 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 41, 59.64 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 59.66 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 58.23 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 15 %, 2 %, 42, 83.91 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 33 %, 4 %, 42, 68.04 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 29 %, 3 %, 40, 81.75 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 33 %, 3 %, 39, 72.93 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 64 %, 9 %, 44, 126.11 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 44 %, 7 %, 43, 123.52 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 53 %, 7 %, 41, 98.35 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 56 %, 7 %, 41, 105.07 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 43, 71.33 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 42, 71.56 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 40, 70.25 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 40, 69.15 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 71.33 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 42, 71.07 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 40, 70.01 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 40, 69.54 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 60.16 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 41, 59.74 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 59.66 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 58.23 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 60.39 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 41, 59.64 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 59.66 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 58.26 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 67 %, 9 %, 43, 117.07 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 48 %, 7 %, 42, 122.64 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 57 %, 7 %, 40, 110.17 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 61 %, 7 %, 40, 132.75 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 70 %, 10 %, 44, 114.10 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 53 %, 8 %, 43, 103.99 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 63 %, 8 %, 41, 105.58 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 64 %, 7 %, 41, 127.28 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 4 %, 0 %, 43, 70.99 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 42, 71.31 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 1 %, 0 %, 40, 70.25 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 40, 69.19 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 59.32 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 42, 71.11 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 40, 59.08 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 57.87 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 59.92 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 41, 59.99 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 59.66 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 58.02 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 59.90 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 41, 59.90 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 59.66 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 57.77 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 58 %, 8 %, 43, 126.91 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 42 %, 6 %, 43, 120.09 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 48 %, 6 %, 40, 121.64 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 51 %, 6 %, 40, 95.88 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 65 %, 9 %, 43, 71.39 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 37 %, 5 %, 43, 71.40 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 48 %, 6 %, 40, 70.67 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 51 %, 6 %, 40, 68.64 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 70.74 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 42, 71.32 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 40, 70.25 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 40, 68.85 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 59.92 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 41, 59.99 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 59.66 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 58.02 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 0 %, 0 %, 42, 59.92 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 41, 59.74 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 59.66 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 4847 MiB, 40709 MiB, 0 %, 0 %, 39, 57.77 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 5103 MiB, 40453 MiB, 53 %, 7 %, 43, 91.01 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1620 MHz, 6500 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 4847 MiB, 40709 MiB, 51 %, 7 %, 42, 72.74 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P0, 1605 MHz, 6500 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
